name,type,address,city,county,postcode,website,phone,latitude,longitude,numberOfStores_published,numberOfStores_qualifier,anchor_count,parkingSpaces,parkingSpaces_qualifier,publicTransit,openingHours_json,googleRating,googleReviews,instagram,facebook,youtube,tiktok,source_urls,last_verified
Serpentine Green,SHOPPING_CENTRE,"Hargate Way, Hampton",Peterborough,Cambridgeshire,PE7 8BE,https://serpentine-green.com/,01733 896479,52.54083,-0.263007,40.0,approx,1.0,2000.0,over,Stagecoach bus #6,"{""mon-sat"":""09:00-20:00"",""sun"":""10:00-16:00""}",,,,,,,"https://serpentine-green.com/; https://www.google.com/maps/search/?api=1&query=52.54083,-0.263007",2025-09-29
Brotherhood Retail Park,RETAIL_PARK,Lincoln Rd,Peterborough,Cambridgeshire,PE4 6ZR,https://brotherhoodshopping.co.uk/,,52.5989543,-0.2652186,14.0,exact (per site directory),4.0,500.0,over,Stagecoach City No.1; 408/413; Delaine 101/102/201,,,,,https://www.facebook.com/brotherhoodshopping,,,https://brotherhoodshopping.co.uk/stores/; https://brotherhoodshopping.co.uk/visit-us/,2025-09-29
Hereward Cross Shopping Centre,SHOPPING_CENTRE,Hereward Cross / Midgate / Broadway,Peterborough,Cambridgeshire,PE1 1TB,,01733 568710,52.574221,-0.240837,14.0,per LoopNet description,,65.0,,City centre location near bus hub & rail station,,,,,,,,https://www.loopnet.com/Listing/Midgate-Peterborough/27993419/; https://www.doogal.co.uk/ShowMap?postcode=PE1+1TB; https://www.peterboroughonline.co.uk/info/4422/; https://www.ecpparkbuddy.com/locationDetail/?id=5703,2025-09-29
Boongate Retail Park,RETAIL_PARK,Padholme Road (Unit 2 The Range),Peterborough,Cambridgeshire,PE1 5UY,,01733 566686 (The Range store),,,,,,,,,,,,,,,,https://www.therange.co.uk/stores/peterborough/; https://www.bmstores.co.uk/stores/peterborough-boongate-50,2025-09-29
Maskew Avenue Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2AQ,,,,,,,,,,,,,,,,,,https://www.cspretail.com/properties/maskew-avenue-retail-park/; https://assets.savills.com/properties/GB0400L128562/bdd75704c1dac688a5ae5dedfe454d24.pdf,2025-09-29
Boulevard Retail Park,RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1 2HS,,,,,,,,,,,,,,,,,,https://www.dfs.co.uk/store-directory/peterborough-furniture-store; https://welovepeterborough.co.uk/shopping-in-peterborough/,2025-09-29
Peterborough One Retail Park (PE1),RETAIL_PARK,Eye Road,Peterborough,Cambridgeshire,PE1 4YZ,,,,,,,,,,,,,,https://www.instagram.com/peterboroughone/,https://www.facebook.com/PeterboroughOne/,,,https://www.visitpeterborough.com/things-to-do/shopping/peterborough-one-retail-park-p876501; https://www.instagram.com/peterboroughone/,2025-09-29
Bretton Centre,SHOPPING_CENTRE,"Bretton Centre, Bretton Way",Peterborough,Cambridgeshire,PE3 8DN,https://www.cresset.co.uk/shops/,,,,,,,,,,,,,,,,,https://www.cresset.co.uk/shops/; https://bretton-city-of-peterborough.cylex-uk.co.uk/map/bretton%20centre.html,2025-09-29
Werrington Centre,SHOPPING_CENTRE,Staniland Way (district centre),Peterborough,Cambridgeshire,PE4 6NA,,,,,,,,,,,,,,,,,,https://assets.savills.com/properties/GB211CPA12290/Werrington%20Centre%2005%2018.pdf; https://propertylinkassets.estatesgazette.com/images/20240704/6-118219251.pdf; https://shop.barnardos.org.uk/shop/werrington,2025-09-29
Ortongate Shopping Centre,SHOPPING_CENTRE,,Peterborough,Cambridgeshire,,https://ortongate.co.uk/,01733 370033,,,,,,,,,,,,,,,,https://ortongate.co.uk/,2025-09-29
Stanground Retail Park,RETAIL_PARK,,Peterborough,Cambridgeshire,,,,,,,,1.0,,,,,,,,,,,https://my.morrisons.com/storefinder/414/stanground/,2025-09-29
Fengate Retail Park,RETAIL_PARK,,Peterborough,Cambridgeshire,,,,,,,,,,,,,,,,,,,https://www.screwfix.com/stores/DT5/peterborough-fengate,2025-09-29
Boulevard Retail Park (duplicate entry?),RETAIL_PARK,Maskew Avenue,Peterborough,Cambridgeshire,PE1,,,,,,,,,,,,,,,,,,https://www.dfs.co.uk/store-directory/peterborough-furniture-store,2025-09-29
Peterborough Trade Centre Retail Park,RETAIL_PARK,,Peterborough,Cambridgeshire,,,,,,,,,,,,,,,,,,,,2025-09-29
Pyramid Shopping Centre (Peterborough),SHOPPING_CENTRE,,Peterborough,Cambridgeshire,,,,,,,,,,,,,,,,,,,,2025-09-29
Orton Southgate Shopping Centre,SHOPPING_CENTRE,,Peterborough,Cambridgeshire,,,,,,,,,,,,,,,,,,,,2025-09-29
Discovery Business Park (retail cluster),RETAIL_PARK,,Peterborough,Cambridgeshire,,,,,,,,,,,,,,,,,,,,2025-09-29
The Deeping Shopping Centre,SHOPPING_CENTRE,,Market Deeping,Lincolnshire,,,,,,,,,,,,,,,,,,,,2025-09-29
